run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2
10,1800,growth,1,214,36,139,39,214,0.6495327102803738,0.1822429906542056,28.546728971962615,39.02777777777778,32.18705035971223,5.897435897435898,6109.0,27.5351849226194,44.09710982249038,25.812108032675773,12.652659443127664,0.4901831120151269,88.0,78.0,1.1282051282051282,72.38694911228397,50.00999900019995,0.0,1.7843957789988911,27.174461330584897,6.113544752950437,0.2733812949640288,1.0,0.1682242990654205,-0.1682242990654205,41.89202079656243,0.0,0.0,15.0,0.0051401869158878,0.0062238773452901,1.1,16.505790532192336,22.484278638786243,4.817570332981498e-21,22.484278638786243
10,1810,growth,1,210,37,135,38,210,0.6428571428571429,0.1809523809523809,29.18095238095238,38.86486486486486,33.22962962962963,5.368421052631579,6128.0,28.41012683141799,44.16563123667847,25.710940929289315,12.890566875167826,0.5013650379665097,88.0,78.0,1.1282051282051282,72.4180963239032,50.039984012787215,0.0,1.3674372879696903,26.986005240360612,5.526398517289147,0.2666666666666666,1.0,0.1761904761904762,-0.1761904761904762,41.788749839056365,0.0,0.0,15.0,0.009047619047619,0.0350462195986793,1.9,16.498012124924433,22.47311784199306,4.6145994748233486e-21,22.47311784199306
10,1820,growth,1,214,41,128,45,214,0.5981308411214953,0.2102803738317757,28.70560747663551,36.926829268292686,33.7265625,6.933333333333334,6143.0,27.387190034456346,44.21965208848919,25.410861866536592,13.110711422744457,0.5159491044264763,88.0,80.0,1.1,72.69409039780909,49.01020301937138,0.0,1.5689653107666366,27.098223975817245,5.92178761179615,0.3125,1.0,0.1915887850467289,-0.1915887850467289,41.53344702447309,0.0,0.0,15.0,0.0070093457943925,-0.0491906388897762,1.5,16.409150529130596,22.517062320887486,7.426503994558493e-21,22.517062320887486
10,1830,growth,1,213,42,123,48,213,0.5774647887323944,0.2253521126760563,28.830985915492956,35.38095238095238,35.333333333333336,6.4375,6141.0,27.43908181884479,44.21245312188251,25.36091314235959,13.421843397026135,0.5292334436731312,90.0,79.0,1.139240506329114,72.76853628680738,50.039984012787215,0.0,1.3377414545570718,27.1562005840754,6.192346436581604,0.2845528455284553,1.0,0.1971830985915492,-0.1971830985915492,42.01021901250955,0.0,0.0,15.0,-0.0009389671361502,-0.007668657258083,-0.2,16.407949255106036,22.39061401259731,1.075695465577977e-20,22.39061401259731
10,1840,growth,1,219,55,118,46,219,0.5388127853881278,0.2100456621004566,27.926940639269407,27.509090909090908,37.07627118644068,4.956521739130435,6116.0,26.737745023753543,44.12236693447059,26.16941351221514,13.764402135283667,0.5259728930821791,90.0,80.0,1.125,72.14090258799146,48.010415536631214,0.0,0.87639761071794,26.52930657428826,5.996854179602155,0.2796610169491525,1.0,0.2511415525114155,-0.2511415525114155,42.26887438449821,0.0,0.0,15.0,-0.0114155251141552,0.0050418871178474,-2.5,16.889969446887708,21.846361530425884,2.7642397054230514e-20,21.846361530425884
10,1850,growth,1,221,55,117,49,221,0.5294117647058824,0.2217194570135746,27.58371040723982,25.945454545454545,37.21367521367522,6.428571428571429,6096.0,26.22677637333244,44.05016533653861,26.237581981947365,13.881588959062784,0.529072723569342,89.0,80.0,1.1125,71.89250622209445,48.010415536631214,0.0,1.798444877718189,27.09390523387555,6.05978796321189,0.3076923076923077,1.0,0.248868778280543,-0.248868778280543,42.39252900817357,0.0,0.0,15.0,-0.0090497737556561,-0.0268998107219713,-2.0,16.942871382872983,21.72266743949096,2.632559404492086e-20,21.72266743949096
10,1860,growth,1,218,52,129,37,218,0.591743119266055,0.1697247706422018,27.880733944954127,26.673076923076923,34.674418604651166,5.891891891891892,6078.0,26.863428999524597,43.98508256471823,27.002638638140965,13.392515241189043,0.4959706131189804,89.0,79.0,1.1265822784810129,71.30933208728572,48.25971404805462,0.0,1.9665734536938095,27.06078261127168,5.360260709795847,0.2790697674418604,1.0,0.2385321100917431,-0.2385321100917431,42.25778115381225,0.0,0.0,15.0,-0.0082568807339449,0.0275733685274736,-1.8,17.102781168911434,21.605414591797995,2.323417148540353e-20,21.605414591797995
10,1870,growth,1,231,51,131,49,231,0.5670995670995671,0.2121212121212121,26.233766233766232,26.58823529411765,33.63358778625954,6.081632653061225,6060.0,25.005608282047948,43.9199033500049,26.14978027637379,13.504088670342076,0.5164130836901509,90.0,78.0,1.1538461538461535,72.19967757359872,47.16990566028302,0.0,1.6079647715401162,27.30104764072778,6.163372315389716,0.2748091603053435,1.0,0.2207792207792207,-0.2207792207792207,42.395230577508045,0.0,0.0,15.0,-0.0077922077922077,-0.0346026011875697,-1.8,16.74449479734743,21.90412544894528,3.2096325111806244e-20,21.90412544894528
10,1880,growth,1,229,50,134,45,229,0.5851528384279476,0.1965065502183406,26.449781659388645,28.08,32.88805970149254,5.466666666666667,6057.0,25.428816932778172,43.90903074101295,26.104948739534436,13.421855544041676,0.514149852503447,89.0,78.0,1.141025641025641,72.19201133113071,48.09365862564419,0.0,2.290430608569872,26.833726283445316,5.972438569548616,0.291044776119403,1.0,0.2183406113537118,-0.2183406113537118,42.2710840748405,0.0,0.0,15.0,-0.0013100436681222,0.020481905874727,-0.3,16.716434695314632,21.96741762952513,2.401258778645563e-20,21.96741762952513
10,1890,growth,1,228,46,134,48,228,0.5877192982456141,0.2105263157894736,26.600877192982455,28.782608695652176,33.37313432835821,5.604166666666667,6065.0,25.63475858119496,43.93801838618454,25.858612387660507,13.656730514271,0.5281308335318049,90.0,78.0,1.1538461538461535,72.39772465241617,48.041648597857254,0.0,1.3279290622459434,27.322867489877257,5.6636266380059395,0.2761194029850746,1.0,0.2017543859649122,-0.2017543859649122,42.666202219973,0.0,0.0,15.0,0.0035087719298245,0.0094411749588815,0.8,16.650514406070375,22.01525468157049,2.1710000760388415e-20,22.01525468157049
