run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,total_tumor_volume,avg_tumor_target_volume,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_endothelial_volume,avg_vascular_volume,avg_endothelial_volume_growth_rate,avg_vascular_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost,mean_endothelial_effective_vegf2
5,460,growth,1,176,58,118,0,176,0.6704545454545454,0.0,31.0625,5467.0,36.122190616347574,0.2159090909090909,0.2315638650547374,38.0,25,29,12,4,13,53.48,1900.0,0.092,0.0,19.306070734154098,18.22547443888404,4.227594984062946e-21,18.22547443888404,70.0,0.2957071281969547,90.0,3.98234748840332,0.3858673945069313,0.4195512642570041,0.5931140171172796,0.3558684102703677,0.6515755384673225
5,470,growth,1,176,63,113,0,176,0.6420454545454546,0.0,33.41477272727273,5881.0,38.3980724919926,0.2352272727272727,0.227588187564503,41.4,25,29,14,4,11,53.56,1900.0,0.008,0.0,19.62767873027108,17.94608298485929,2.9460193840674307e-20,17.94608298485929,70.0,0.3175719663500785,90.0,3.98234748840332,0.4170038625597954,0.4168541689140386,0.589576298247885,0.353745778948731,0.6713177452988095
5,480,growth,1,176,68,108,0,176,0.6136363636363636,0.0,36.0,6336.0,40.631694652817465,0.2585227272727273,0.2233622160824862,45.5,26,30,15,4,11,51.53846153846154,1900.0,0.0038461538461538,0.0,19.92819049141624,17.646876887841657,2.3017511377617293e-19,17.646876887841657,70.0,0.347719463877953,90.0,3.98234748840332,0.4465602040290832,0.414412129823093,0.5862353476473678,0.3517412085884207,0.6994606724663737
5,490,growth,1,176,71,103,2,176,0.5852272727272727,0.0113636363636363,38.32954545454545,6746.0,42.322495850649744,0.2329545454545454,0.1690801197832281,41.0,26,30,15,4,11,51.84615384615385,1900.0,0.0307692307692307,0.0,20.015706517479636,17.448564315384086,1.162109708931904e-18,17.448564315384086,70.0,0.3721362736362677,90.0,3.98234748840332,0.4753353893756866,0.4124188175519192,0.5833382095840745,0.3500029257504446,0.7221391993867123
5,500,growth,1,194,76,109,9,194,0.5618556701030928,0.0463917525773195,36.66494845360825,7113.0,37.739438066777495,0.1891752577319587,-0.0656228271956296,36.7,26,30,16,4,10,52.0,1900.0,0.0153846153846153,0.0,20.11438659294364,17.171581885249346,4.875573738402632e-18,17.171581885249346,70.0,0.3981177528890279,90.0,3.98234748840332,0.5040273293852806,0.4090253662559082,0.5793838776340421,0.3476303265804252,0.7457480794694532
5,510,growth,1,261,72,171,18,261,0.6551724137931034,0.0689655172413793,27.65134099616858,7217.0,27.22657866496236,0.0398467432950191,-0.0824957675860759,10.4,26,30,16,4,10,52.5,1900.0,0.05,0.0,18.584662769946103,18.808556421506452,1.0146375654288905e-17,18.808556421506452,70.0,0.4257020626503687,90.0,3.98234748840332,0.5332006067037582,0.4184268561731115,0.5903863765461156,0.3542318259276693,0.779933888578038
5,520,growth,1,277,64,181,32,277,0.6534296028880866,0.1155234657039711,26.422382671480143,7319.0,26.294708183095775,0.0368231046931408,0.0640783881452539,10.2,26,30,17,4,9,53.65384615384615,1900.0,0.1153846153846153,0.0,17.710136231102236,19.701072064547763,1.186237751329044e-17,19.701072064547763,70.0,0.4571131009321946,90.0,3.98234748840332,0.5632909536361694,0.4258152951559314,0.5980319330188971,0.3588191598113383,0.8159322607435329
5,530,growth,1,276,66,165,45,276,0.5978260869565217,0.1630434782608695,27.065217391304348,7470.0,26.860106005184893,0.0547101449275362,0.0470127140266307,15.1,26,30,17,4,9,54.07692307692308,1900.0,0.0423076923076923,0.0,17.368672875390537,20.016761672669563,1.897008395295174e-17,20.016761672669563,70.0,0.4889397211372852,90.0,3.98234748840332,0.594797357916832,0.4295537331137689,0.6016177521277996,0.3609706512766797,0.8499103724139649
5,540,growth,1,274,66,152,56,274,0.5547445255474452,0.2043795620437956,27.89051094890511,7642.0,27.325704581546088,0.0627737226277372,0.0269539408440137,17.2,26,30,17,4,9,54.57692307692308,1900.0,0.05,0.0,17.084429974103497,20.20084043314857,2.3648018541421838e-17,20.20084043314857,70.0,0.5246204871397752,90.0,3.98234748840332,0.6283623427152634,0.4331860746923395,0.6050798821993731,0.3630479293196239,0.8876684164593991
5,550,growth,1,274,65,139,70,274,0.5072992700729927,0.2554744525547445,28.361313868613134,7771.0,27.065531069344846,0.0470802919708029,-0.0260173512201239,12.9,26,30,17,4,9,54.69230769230769,1900.0,0.0115384615384615,0.0,16.802351387747883,20.319793210412463,3.2250148524104445e-17,20.319793210412463,70.0,0.5596028302724545,90.0,3.98234748840332,0.6645321547985077,0.437006087402553,0.6086846802564356,0.3652108081538613,0.924813638426316
5,560,growth,1,270,61,130,79,270,0.4814814814814814,0.2925925925925925,29.09259259259259,7855.0,27.120320341322156,0.0311111111111111,-0.0346181558679651,8.4,26,30,17,4,9,55.30769230769231,1900.0,0.0615384615384615,0.0,16.48067985817238,20.439203424806948,3.458992669960629e-17,20.439203424806948,70.0,0.5964308919814917,90.0,3.98234748840332,0.7032228261232376,0.4404812391195929,0.6119202144053157,0.3671521286431894,0.9635830206246812
5,570,growth,1,266,58,119,89,266,0.4473684210526316,0.3345864661654135,29.402255639097746,7821.0,26.61730738331501,-0.012781954887218,-0.0910837324042069,-3.4,26,30,18,4,8,55.57692307692308,1900.0,0.0269230769230769,0.0,16.143199092463444,20.6149195262364,4.051741603543161e-17,20.6149195262364,70.0,0.6375237978421725,90.0,3.98234748840332,0.743971586227417,0.4439977270034903,0.6152831579173296,0.3691698947503977,1.0066936925925702
