run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost
10,1700,growth,1,206,38,127,41,206,0.616504854368932,0.1990291262135922,28.62135922330097,33.578947368421055,34.71653543307087,5.146341463414634,5896.0,27.884080849804924,43.32153147038583,25.154807424225982,13.00793352613904,0.5171152100974312,89.0,78.0,1.141025641025641,72.84358769886596,50.00999900019995,0.0,1.6840993511121056,26.66027130616748,5.424164560621077,0.2834645669291338,1.0,0.1844660194174757,-0.1844660194174757,41.411713855837306,0.0,0.0,15.0,0.0223300970873786,0.0326258511219209,4.6,16.40457163042235,22.526278495788578,3.3557519685048753e-21,22.526278495788578,0.4418061980353175,0.6153635348281172,0.3692181208968703
10,1710,growth,1,202,38,121,43,202,0.599009900990099,0.2128712871287128,29.34158415841584,34.78947368421053,35.78512396694215,6.395348837209302,5927.0,28.161110320893844,43.43527017771764,25.041748550570325,13.132007525806127,0.524404575794171,89.0,78.0,1.141025641025641,72.88901705093721,50.635955604688654,0.0,1.795117797391681,26.811963065723464,5.6540401110678795,0.2892561983471074,1.0,0.1881188118811881,-0.1881188118811881,41.34373556544073,0.0,0.0,15.0,0.0153465346534653,-0.02751305457389,3.1,16.383111151138156,22.538887755705577,3.3596389614034337e-21,22.538887755705577,0.4417036613351412,0.6152067844377622,0.3691240706626573
10,1720,growth,1,200,37,122,41,200,0.61,0.205,29.665,36.13513513513514,35.83606557377049,5.463414634146342,5933.0,28.6573392868042,43.45724973728124,25.049482052946573,13.11685390747046,0.5236377295045717,88.0,78.0,1.1282051282051282,72.86766658983468,50.039984012787215,0.0,1.6650441290567757,26.69359528154498,5.373740022184788,0.2786885245901639,1.0,0.185,-0.185,41.43120122516895,0.0,0.0,15.0,0.003,0.0214617862701416,0.6,16.38268023967743,22.525307536125183,3.425769825159165e-21,22.525307536125183,0.4415326259901884,0.6150670442510603,0.3690402265506362
10,1730,growth,1,202,38,122,42,202,0.6039603960396039,0.2079207920792079,29.336633663366335,36.6578947368421,35.295081967213115,5.404761904761905,5926.0,28.191255890496887,43.431605836362344,25.03227790935691,13.039492663121123,0.5209071547678464,89.0,78.0,1.141025641025641,72.97206145929358,50.00999900019995,0.0,1.5556612024719283,26.618152519337176,5.697102587554123,0.2540983606557377,1.0,0.1881188118811881,-0.1881188118811881,41.31124267509704,0.0,0.0,15.0,-0.0034653465346534,-0.0182347363764696,-0.7,16.344622371220353,22.558735904127065,3.8097326810987865e-21,22.558735904127065,0.4416279346734705,0.6152042437399805,0.3691225462439882
10,1740,growth,1,199,35,123,41,199,0.6180904522613065,0.2060301507537688,29.809045226130653,38.34285714285714,35.50406504065041,5.439024390243903,5932.0,28.724939327144146,43.45358724941183,24.92106975062408,12.989274559153866,0.5212165725280948,90.0,78.0,1.1538461538461535,73.10024008321103,49.01020301937138,0.0,1.4448057928089486,26.593398780161028,5.692662651127831,0.3008130081300813,1.0,0.1758793969849246,-0.1758793969849246,41.56873319194701,0.0,0.0,15.0,0.0030150753768844,0.0108689629252831,0.6,16.233848835355673,22.664396602304738,4.591153490409368e-21,22.664396602304738,0.4419726463003162,0.6156447914694726,0.3693868748816835
10,1750,growth,1,199,36,122,41,199,0.6130653266331658,0.2060301507537688,29.78391959798995,38.75,35.40163934426229,5.195121951219512,5927.0,28.74099252211988,43.43527017771764,24.644487790494935,13.058276766170708,0.529866024288284,90.0,77.0,1.1688311688311688,73.31798963583508,49.04079934095691,0.0,1.3160174340423532,26.204526629655454,5.375458128198222,0.2950819672131147,1.0,0.1809045226130653,-0.1809045226130653,41.30297328428886,0.0,0.0,15.0,-0.0025125628140703,0.0016053194975733,-0.5,16.14474701521984,22.65667721733975,4.328548627249301e-21,22.65667721733975,0.4431493581307745,0.6169324095405802,0.370159445724348
10,1760,growth,1,209,37,130,42,209,0.6220095693779905,0.200956937799043,28.358851674641148,39.54054054054054,32.6,5.380952380952381,5927.0,27.11659726229581,43.43527017771764,24.81183676625547,12.77001541089894,0.5146743278702519,89.0,77.0,1.155844155844156,73.13976943016206,50.039984012787215,0.0,1.4842542316647451,26.259069295845656,5.824521528355111,0.3,1.0,0.1770334928229665,-0.1770334928229665,41.280134364771456,0.0,0.0,15.0,0.0,-0.0249228153502541,0.0,16.174174564306817,22.62835573807858,3.672162369053096e-21,22.62835573807858,0.4431935827385281,0.6172136278507154,0.3703281767104292
10,1770,growth,1,211,35,134,42,211,0.6350710900473934,0.1990521327014218,27.9478672985782,39.97142857142857,31.746268656716417,5.809523809523809,5897.0,26.791936621281778,43.32520512156652,24.737388771431057,12.68742266794145,0.5128844756077899,89.0,77.0,1.155844155844156,73.08383924612427,50.039984012787215,0.0,1.141708907713772,26.368531934821483,5.713507286263186,0.291044776119403,1.0,0.1658767772511848,-0.1658767772511848,41.321098442366306,0.0,0.0,15.0,-0.0142180094786729,-0.0067631283077583,-3.0,16.09189794187862,22.665493874753256,3.642222613794861e-21,22.665493874753256,0.4433123674860574,0.6174525742875471,0.3704715445725282
10,1780,growth,1,210,34,132,44,210,0.6285714285714286,0.2095238095238095,28.142857142857142,41.23529411764706,32.06818181818182,6.25,5910.0,27.095092083158946,43.372934271803686,24.711040915017985,12.542866758582816,0.5075814815619509,89.0,78.0,1.141025641025641,73.19162239912691,50.00999900019995,0.0,1.4460339811943823,26.543656852077465,6.28656683608767,0.2954545454545454,1.0,0.1619047619047619,-0.1619047619047619,41.43961608504983,0.0,0.0,15.0,0.0061904761904761,0.0175574811299641,1.3,16.07011470794678,22.61621009735834,3.1241166910479637e-21,22.61621009735834,0.4441916802261701,0.6183655860535356,0.3710193516321213
10,1790,growth,1,199,36,124,39,199,0.6231155778894473,0.1959798994974874,29.819095477386934,39.80555555555556,34.064516129032256,7.102564102564102,5934.0,28.960796394539837,43.46091191650969,25.177933392566352,12.707820365224327,0.5047205490255305,89.0,77.0,1.155844155844156,72.7917714598704,50.0,0.0,1.168846318612753,26.571224398359607,5.7506004816797125,0.2741935483870967,1.0,0.1809045226130653,-0.1809045226130653,41.42509724829455,0.0,0.0,15.0,0.0120603015075376,0.0367985653517833,2.4,16.312957480924215,22.365655975725183,4.369559001123462e-21,22.365655975725183,0.4420869373858054,0.6161045249116107,0.3696627149469664
